experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=4649	1		The actress who had always visited museums either donated.
experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=4649	1		The actress who had always visited museums for a while donated.
experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=0-npi_present=1-paradigm=4649	0		The actress who had always visited museums donated either.
experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=4649	0		The actress who had always visited museums donated for a while.
experiment=NPI-env=adverbs-npi=either-crucial_item=rarely-licensor=1-scope=1-npi_present=1-paradigm=4649	1		The actress who had rarely visited museums either donated.
experiment=NPI-env=adverbs-npi=either-crucial_item=rarely-licensor=1-scope=1-npi_present=0-paradigm=4649	1		The actress who had rarely visited museums for a while donated.
experiment=NPI-env=adverbs-npi=either-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=4649	0		The actress who had rarely visited museums donated either.
experiment=NPI-env=adverbs-npi=either-crucial_item=rarely-licensor=1-scope=0-npi_present=0-paradigm=4649	0		The actress who had rarely visited museums donated for a while.
experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=4851	1		The patient who could always talk about reports either has seen.
experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=4851	1		The patient who could always talk about reports as well has seen.
experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=0-npi_present=1-paradigm=4851	0		The patient who could always talk about reports has seen either.
experiment=NPI-env=adverbs-npi=either-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=4851	0		The patient who could always talk about reports has seen as well.
experiment=NPI-env=adverbs-npi=either-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=4851	1		The patient who could seldom talk about reports either has seen.
experiment=NPI-env=adverbs-npi=either-crucial_item=seldom-licensor=1-scope=1-npi_present=0-paradigm=4851	1		The patient who could seldom talk about reports as well has seen.
experiment=NPI-env=adverbs-npi=either-crucial_item=seldom-licensor=1-scope=0-npi_present=1-paradigm=4851	0		The patient who could seldom talk about reports has seen either.
experiment=NPI-env=adverbs-npi=either-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=4851	0		The patient who could seldom talk about reports has seen as well.
experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=1-paradigm=1057	1		The pedestrians who sometimes saw any gloves broke cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1057	1		The pedestrians who sometimes saw the gloves broke cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=1057	0		The pedestrians who sometimes saw gloves broke any cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=0-npi_present=0-paradigm=1057	0		The pedestrians who sometimes saw gloves broke these cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=1-npi_present=1-paradigm=1057	1		The pedestrians who rarely saw any gloves broke cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=1-npi_present=0-paradigm=1057	1		The pedestrians who rarely saw the gloves broke cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=1057	0		The pedestrians who rarely saw gloves broke any cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=0-paradigm=1057	0		The pedestrians who rarely saw gloves broke these cups.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1951	1		The adults who will always drop by any college campuses drop by movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=1951	1		The adults who will always drop by the college campuses drop by movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=1-paradigm=1951	0		The adults who will always drop by college campuses drop by any movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1951	0		The adults who will always drop by college campuses drop by the movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=1-npi_present=1-paradigm=1951	1		The adults who will rarely drop by any college campuses drop by movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=1-npi_present=0-paradigm=1951	1		The adults who will rarely drop by the college campuses drop by movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=1951	0		The adults who will rarely drop by college campuses drop by any movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=0-paradigm=1951	0		The adults who will rarely drop by college campuses drop by the movie theaters.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1552	1		A customer who has always arrived at any schools discusses cashiers.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=1552	1		A customer who has always arrived at the schools discusses cashiers.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=1-paradigm=1552	0		A customer who has always arrived at schools discusses any cashiers.
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1552	0		A customer who has always arrived at schools discusses the cashiers.
experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=1-paradigm=1552	1		A customer who has hardly arrived at any schools discusses cashiers.
