item_1_condition,field_1_1,item_2_condition,field_2_1,item_3_condition,field_3_1,item_4_condition,field_4_1,item_5_condition,field_5_1,list
experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=900-acceptability=1,The doctor sometimes obviously thought that the waitresses worry.,experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=1-npi_present=1-paradigm=580-acceptability=0,Teenagers who might describe any men work with the waitresses.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=23-acceptability=1,"If the girl often leaves the pedestrians, the pedestrian will bike to the malls.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=851-acceptability=1,The actor really does say that the drivers can really take the books.,1
experiment=NPI-env=superlative-npi=ever-crucial_item=big-licensor=0-scope=1-npi_present=0-paradigm=879-acceptability=1,The adults sold the big rug that the customers had often admired.,experiment=NPI-env=superlative-npi=any-crucial_item=happy-licensor=0-scope=0-npi_present=1-paradigm=1372-acceptability=0,Any teenagers admire the happy lady that dancers have kissed.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=96-acceptability=1,The women say that the dancers clearly praised the books.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=3891-acceptability=1,Will the ladies bike to those museums?,2
experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=0-npi_present=0-paradigm=1202-acceptability=1,The adults who sometimes attacked teenagers have lifted the chairs.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=991-acceptability=1,"If the actors arrive at the high schools, the waiters will obviously investigate the pedestrians.",experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1914-acceptability=1,The women say that the cashiers do drop by the malls.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1627-acceptability=1,"If the actresses flee from these restaurants, the actress will help the adults.",3
experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=1630-acceptability=1,A cashier who will scarcely bring pants has listened to those drivers.,experiment=NPI-env=superlative-npi=any-crucial_item=serious-licensor=0-scope=1-npi_present=0-paradigm=1444-acceptability=1,The waiters remembered the serious guy that these teenagers have praised.,experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=994-acceptability=0,The cashier often ever thinks that the doctors can discuss the alumnus.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=47-acceptability=1,The patients have not really imagined that the lady can buy the newspaper articles.,4
experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=1427-acceptability=1,A child who always referenced these boys references customers.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=69-acceptability=0,A cashier had ever imagined that the guys really did mutter.,experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=756-acceptability=1,All pedestrians who went to a lot of public parks talked about those teenagers.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1479-acceptability=1,The women say that the man does skate around those schools.,5
experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=3513-acceptability=1,Could the teachers escape from those students?,experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=1233-acceptability=1,"As the teacher knows, even the students praised those adults.",experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=5589-acceptability=1,"As the lady knows, the children were explaining that no adults whispered.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=ever-crucial_item=big-licensor=0-scope=1-npi_present=1-paradigm=652-acceptability=0,The lady investigates the big high schools that the guest had ever walked through.,6
experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=3037-acceptability=1,The dancers were praising these people.,experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=1-paradigm=1085-acceptability=0,A pedestrian who ever boycotts a lot of restaurants has known more than three girls.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=5124-acceptability=1,"According to the doctor, those people did imagine that no commentaries praised an essay.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=any-crucial_item=important-licensor=0-scope=0-npi_present=0-paradigm=1814-acceptability=1,Those guys praised the important driver that patients have hugged.,7
experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1468-acceptability=0,"While the patients hate any ladies, the dancer will dislike the essays.",experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=737-acceptability=1,Can the girls obviously kiss the patients?,experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=804-acceptability=1,A driver often thinks that the students might always know the deer.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=1719-acceptability=0,Every actress who cleans many cups can ever help more than three customers.,8
experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=924-acceptability=1,"While the guest often passes the college campuses, the children will praise the patients.",experiment=NPI-env=superlative-npi=ever-crucial_item=most serious-licensor=1-scope=0-npi_present=0-paradigm=306-acceptability=1,The senator also forgot the most serious adult that the teenager had disliked.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=2875-acceptability=1,Had the child known any cashiers?,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1635-acceptability=1,Those girls wonder whether the adult dislikes stories.,9
experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1018-acceptability=1,"While the actor watches the cashiers, the woman will admire the customers.",experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5914-acceptability=1,"According to the driver, some actors were thinking that the people were negotiating.",experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=1930-acceptability=0,A person who rarely talked about customers arrived at any restaurants.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=781-acceptability=0,"From what the student heard, even the man ever drops by the art galleries.",10
