"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
1,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=0-paradigm=648-acceptability=1","The actresses will often imagine that none of the commentaries are discussing the person.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=1-paradigm=121-acceptability=1","The pedestrian hardly ever explains that the actors had chuckled.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=435-acceptability=1","While the girls clearly respect the ladies, the pedestrians will pass the movie theaters.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=popular-licensor=0-scope=1-npi_present=1-paradigm=1477-acceptability=0","The teachers had scanned the popular essay that any boys have hated."
2,"experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=1-paradigm=121-acceptability=1","The pedestrian hardly ever explains that the actors had chuckled.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=435-acceptability=1","While the girls clearly respect the ladies, the pedestrians will pass the movie theaters.","experiment=NPI-env=superlative-npi=any-crucial_item=popular-licensor=0-scope=1-npi_present=1-paradigm=1477-acceptability=0","The teachers had scanned the popular essay that any boys have hated.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=0-paradigm=648-acceptability=1","The actresses will often imagine that none of the commentaries are discussing the person."
3,"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=435-acceptability=1","While the girls clearly respect the ladies, the pedestrians will pass the movie theaters.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=0-paradigm=648-acceptability=1","The actresses will often imagine that none of the commentaries are discussing the person.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=1-paradigm=121-acceptability=1","The pedestrian hardly ever explains that the actors had chuckled.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=435-acceptability=1","While the girls clearly respect the ladies, the pedestrians will pass the movie theaters."
4,"experiment=NPI-env=superlative-npi=any-crucial_item=popular-licensor=0-scope=1-npi_present=1-paradigm=1477-acceptability=0","The teachers had scanned the popular essay that any boys have hated.","experiment=NPI-env=superlative-npi=any-crucial_item=popular-licensor=0-scope=1-npi_present=1-paradigm=1477-acceptability=0","The teachers had scanned the popular essay that any boys have hated.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=none of the-licensor=1-scope=0-npi_present=0-paradigm=648-acceptability=1","The actresses will often imagine that none of the commentaries are discussing the person.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=1-paradigm=121-acceptability=1","The pedestrian hardly ever explains that the actors had chuckled."
5,"experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=1-paradigm=1620-acceptability=0","A cashier who ever has some pants goes to more than three public parks.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=848-acceptability=1","Did the doctors obviously tour the movie theaters?","experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=0-npi_present=1-paradigm=370-acceptability=0","A lady ever thinks that the adult barely testifies.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=1-npi_present=0-paradigm=361-acceptability=1","The waiters did insult the new hospital that the people had also criticized."
6,"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=848-acceptability=1","Did the doctors obviously tour the movie theaters?","experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=0-npi_present=1-paradigm=370-acceptability=0","A lady ever thinks that the adult barely testifies.","experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=1-npi_present=0-paradigm=361-acceptability=1","The waiters did insult the new hospital that the people had also criticized.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=1-paradigm=1620-acceptability=0","A cashier who ever has some pants goes to more than three public parks."
7,"experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=0-npi_present=1-paradigm=370-acceptability=0","A lady ever thinks that the adult barely testifies.","experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=1-paradigm=1620-acceptability=0","A cashier who ever has some pants goes to more than three public parks.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=848-acceptability=1","Did the doctors obviously tour the movie theaters?","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=0-npi_present=1-paradigm=370-acceptability=0","A lady ever thinks that the adult barely testifies."
8,"experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=1-npi_present=0-paradigm=361-acceptability=1","The waiters did insult the new hospital that the people had also criticized.","experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=1-npi_present=0-paradigm=361-acceptability=1","The waiters did insult the new hospital that the people had also criticized.","experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=1-paradigm=1620-acceptability=0","A cashier who ever has some pants goes to more than three public parks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=848-acceptability=1","Did the doctors obviously tour the movie theaters?"
9,"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=653-acceptability=1","The guest has clearly taken the newspaper articles.","experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=1-paradigm=984-acceptability=1","A customer lifts the worst chairs that the boy has ever seen.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1696-acceptability=1","The dancers say that the boy investigated the students.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=685-acceptability=1","If the men talk about the dancers, the people will obviously arrive at the high schools."
10,"experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=1-paradigm=984-acceptability=1","A customer lifts the worst chairs that the boy has ever seen.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1696-acceptability=1","The dancers say that the boy investigated the students.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=685-acceptability=1","If the men talk about the dancers, the people will obviously arrive at the high schools.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=653-acceptability=1","The guest has clearly taken the newspaper articles."
11,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1696-acceptability=1","The dancers say that the boy investigated the students.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=653-acceptability=1","The guest has clearly taken the newspaper articles.","experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=1-paradigm=984-acceptability=1","A customer lifts the worst chairs that the boy has ever seen.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1696-acceptability=1","The dancers say that the boy investigated the students."
12,"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=685-acceptability=1","If the men talk about the dancers, the people will obviously arrive at the high schools.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=685-acceptability=1","If the men talk about the dancers, the people will obviously arrive at the high schools.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=653-acceptability=1","The guest has clearly taken the newspaper articles.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=1-paradigm=984-acceptability=1","A customer lifts the worst chairs that the boy has ever seen."
13,"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=192-acceptability=1","Had the doctor ever left the high schools?","experiment=NPI-env=superlative-npi=any-crucial_item=nicest-licensor=1-scope=0-npi_present=1-paradigm=1656-acceptability=0","Any fish flees from the nicest driver that cashiers have attacked.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5220-acceptability=1","These cashiers have said that these actors had really waved.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1554-acceptability=1","A customer who had sometimes referenced those teachers should kiss boys."
14,"experiment=NPI-env=superlative-npi=any-crucial_item=nicest-licensor=1-scope=0-npi_present=1-paradigm=1656-acceptability=0","Any fish flees from the nicest driver that cashiers have attacked.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5220-acceptability=1","These cashiers have said that these actors had really waved.","experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1554-acceptability=1","A customer who had sometimes referenced those teachers should kiss boys.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=192-acceptability=1","Had the doctor ever left the high schools?"
15,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5220-acceptability=1","These cashiers have said that these actors had really waved.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=192-acceptability=1","Had the doctor ever left the high schools?","experiment=NPI-env=superlative-npi=any-crucial_item=nicest-licensor=1-scope=0-npi_present=1-paradigm=1656-acceptability=0","Any fish flees from the nicest driver that cashiers have attacked.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5220-acceptability=1","These cashiers have said that these actors had really waved."
16,"experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1554-acceptability=1","A customer who had sometimes referenced those teachers should kiss boys.","experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1554-acceptability=1","A customer who had sometimes referenced those teachers should kiss boys.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=192-acceptability=1","Had the doctor ever left the high schools?","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=nicest-licensor=1-scope=0-npi_present=1-paradigm=1656-acceptability=0","Any fish flees from the nicest driver that cashiers have attacked."
17,"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=868-acceptability=1","While the men fortunately reference the books, the pedestrians will examine the documentaries.","experiment=NPI-env=quantifier-npi=ever-crucial_item=any-licensor=1-scope=0-npi_present=1-paradigm=1059-acceptability=0","Any waitresses who forgot reports would ever praise a lot of documentaries.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5481-acceptability=1","Those children can say that these teenagers can not die.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=happiest-licensor=1-scope=0-npi_present=1-paradigm=1637-acceptability=0","Any cashiers should forget the happiest woman that girls have approached."
18,"experiment=NPI-env=quantifier-npi=ever-crucial_item=any-licensor=1-scope=0-npi_present=1-paradigm=1059-acceptability=0","Any waitresses who forgot reports would ever praise a lot of documentaries.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5481-acceptability=1","Those children can say that these teenagers can not die.","experiment=NPI-env=superlative-npi=any-crucial_item=happiest-licensor=1-scope=0-npi_present=1-paradigm=1637-acceptability=0","Any cashiers should forget the happiest woman that girls have approached.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=868-acceptability=1","While the men fortunately reference the books, the pedestrians will examine the documentaries."
19,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5481-acceptability=1","Those children can say that these teenagers can not die.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=868-acceptability=1","While the men fortunately reference the books, the pedestrians will examine the documentaries.","experiment=NPI-env=quantifier-npi=ever-crucial_item=any-licensor=1-scope=0-npi_present=1-paradigm=1059-acceptability=0","Any waitresses who forgot reports would ever praise a lot of documentaries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5481-acceptability=1","Those children can say that these teenagers can not die."
20,"experiment=NPI-env=superlative-npi=any-crucial_item=happiest-licensor=1-scope=0-npi_present=1-paradigm=1637-acceptability=0","Any cashiers should forget the happiest woman that girls have approached.","experiment=NPI-env=superlative-npi=any-crucial_item=happiest-licensor=1-scope=0-npi_present=1-paradigm=1637-acceptability=0","Any cashiers should forget the happiest woman that girls have approached.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=868-acceptability=1","While the men fortunately reference the books, the pedestrians will examine the documentaries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=any-licensor=1-scope=0-npi_present=1-paradigm=1059-acceptability=0","Any waitresses who forgot reports would ever praise a lot of documentaries."
21,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=291-acceptability=1","The customer is certainly explaining that the gloves would really resemble the forks.","experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1222-acceptability=1","All people who can attack a lot of teenagers often watch actors.","experiment=NPI-env=superlative-npi=ever-crucial_item=nice-licensor=0-scope=1-npi_present=1-paradigm=263-acceptability=0","A customer cared for the nice women that the waiter has ever known.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=578-acceptability=1","The patient has also loved the reports."
22,"experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1222-acceptability=1","All people who can attack a lot of teenagers often watch actors.","experiment=NPI-env=superlative-npi=ever-crucial_item=nice-licensor=0-scope=1-npi_present=1-paradigm=263-acceptability=0","A customer cared for the nice women that the waiter has ever known.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=578-acceptability=1","The patient has also loved the reports.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=291-acceptability=1","The customer is certainly explaining that the gloves would really resemble the forks."
23,"experiment=NPI-env=superlative-npi=ever-crucial_item=nice-licensor=0-scope=1-npi_present=1-paradigm=263-acceptability=0","A customer cared for the nice women that the waiter has ever known.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=291-acceptability=1","The customer is certainly explaining that the gloves would really resemble the forks.","experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1222-acceptability=1","All people who can attack a lot of teenagers often watch actors.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=nice-licensor=0-scope=1-npi_present=1-paradigm=263-acceptability=0","A customer cared for the nice women that the waiter has ever known."
24,"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=578-acceptability=1","The patient has also loved the reports.","experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=578-acceptability=1","The patient has also loved the reports.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=291-acceptability=1","The customer is certainly explaining that the gloves would really resemble the forks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1222-acceptability=1","All people who can attack a lot of teenagers often watch actors."
25,"experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=1585-acceptability=1","Every waitress who had also loved a lot of actresses has lifted glasses.","experiment=NPI-env=superlative-npi=ever-crucial_item=small-licensor=0-scope=0-npi_present=0-paradigm=562-acceptability=1","The adult often admired the small dishes that the actresses have bought.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=689-acceptability=1","The patients wonder whether the waitress often works with the dancers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1801-acceptability=1","If the girl approaches any boys, the customer will examine the documentaries."
