experiment name	run name	in domain accuracy	out of domain accuracy	1/1	1/0	0/1	0/0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_14	0.9866666666666667	0.9733333333333334	0.04	0.9466666666666667	0.0	0.013333333333333334
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_12	1.0	0.9666666666666667	0.0	0.9333333333333333	0.0	0.06666666666666667
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_4	1.0	0.92	0.0	0.84	0.0	0.16
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_8	1.0	0.9533333333333334	0.02666666666666667	0.9066666666666666	0.0	0.06666666666666667
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_17	1.0	0.9666666666666667	0.05333333333333334	0.9333333333333333	0.0	0.013333333333333334
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_10	1.0	0.9733333333333334	0.05333333333333334	0.9466666666666667	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_7	1.0	0.9533333333333334	0.0	0.9066666666666666	0.0	0.09333333333333334
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_13	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_0	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_16	0.98	0.9933333333333333	0.013333333333333334	0.9866666666666667	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_11	1.0	0.9666666666666667	0.013333333333333334	0.9333333333333333	0.0	0.05333333333333334
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_1	0.9933333333333333	0.9666666666666667	0.05333333333333334	0.9333333333333333	0.0	0.013333333333333334
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_5	1.0	0.9333333333333333	0.0	0.8666666666666667	0.0	0.13333333333333333
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_3	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_2	0.9933333333333333	0.9133333333333333	0.06666666666666667	0.8266666666666667	0.0	0.10666666666666667
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_15	0.9066666666666666	0.8333333333333334	0.08	0.6666666666666666	0.0	0.25333333333333335
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_19	0.9933333333333333	0.94	0.0	0.88	0.0	0.12
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_18	1.0	0.9466666666666667	0.10666666666666667	0.8933333333333333	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_9	1.0	0.9333333333333333	0.0	0.8666666666666667	0.0	0.13333333333333333
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_300	run_6	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_14	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_12	0.96	0.9	0.12	0.8	0.0	0.08
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_4	1.0	0.98	0.0	0.96	0.0	0.04
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_8	1.0	1.0	0.0	1.0	0.0	0.0
