experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1412	1		These doctors say that the waitress could scan the reports.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1412	0		Any doctors say that the waitress could scan the reports.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1412	1		The doctors say that the waitress could scan these reports.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1412	0		The doctors say that the waitress could scan any reports.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1412	1		These doctors wonder whether the waitress could scan reports.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1412	0		Any doctors wonder whether the waitress could scan reports.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1412	1		The doctors wonder whether the waitress could scan these reports.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1412	1		The doctors wonder whether the waitress could scan any reports.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=201	1		The cashiers obviously say that the teenagers had cared for the ladies.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=201	0		The cashiers ever say that the teenagers had cared for the ladies.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=201	1		The cashiers say that the teenagers obviously had cared for the ladies.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=201	0		The cashiers say that the teenagers ever had cared for the ladies.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=201	1		The cashiers obviously wonder whether the teenagers had cared for the ladies.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=201	0		The cashiers ever wonder whether the teenagers had cared for the ladies.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=201	1		The cashiers wonder whether the teenagers obviously had cared for the ladies.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=201	1		The cashiers wonder whether the teenagers ever had cared for the ladies.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1356	1		Those customers say that the people are boycotting the schools.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1356	0		Any customers say that the people are boycotting the schools.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1356	1		The customers say that the people are boycotting those schools.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1356	0		The customers say that the people are boycotting any schools.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1356	1		Those customers wonder whether the people are boycotting schools.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1356	0		Any customers wonder whether the people are boycotting schools.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1356	1		The customers wonder whether the people are boycotting those schools.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1356	1		The customers wonder whether the people are boycotting any schools.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=559	1		The waitresses clearly say that the boys scanned the stories.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=559	0		The waitresses ever say that the boys scanned the stories.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=559	1		The waitresses say that the boys clearly scanned the stories.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=559	0		The waitresses say that the boys ever scanned the stories.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=559	1		The waitresses clearly wonder whether the boys scanned the stories.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=559	0		The waitresses ever wonder whether the boys scanned the stories.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=559	1		The waitresses wonder whether the boys clearly scanned the stories.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=559	1		The waitresses wonder whether the boys ever scanned the stories.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1996	1		These children say that the drivers were scanning the plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1996	0		Any children say that the drivers were scanning the plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1996	1		The children say that the drivers were scanning these plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1996	0		The children say that the drivers were scanning any plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1996	1		These children wonder whether the drivers were scanning plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1996	0		Any children wonder whether the drivers were scanning plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1996	1		The children wonder whether the drivers were scanning these plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1996	1		The children wonder whether the drivers were scanning any plays.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1296	1		These teenagers say that the student praised the documentaries.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1296	0		Any teenagers say that the student praised the documentaries.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1296	1		The teenagers say that the student praised the documentaries.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1296	0		The teenagers say that the student praised any documentaries.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1296	1		These teenagers wonder whether the student praised documentaries.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1296	0		Any teenagers wonder whether the student praised documentaries.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1296	1		The teenagers wonder whether the student praised the documentaries.
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1296	1		The teenagers wonder whether the student praised any documentaries.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=333	1		The drivers also say that the girl sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=333	0		The drivers ever say that the girl sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=333	1		The drivers say that the girl also sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=333	0		The drivers say that the girl ever sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=333	1		The drivers also wonder whether the girl sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=333	0		The drivers ever wonder whether the girl sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=333	1		The drivers wonder whether the girl also sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=333	1		The drivers wonder whether the girl ever sold the dishes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=955	1		The teachers obviously say that the lady lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=955	0		The teachers ever say that the lady lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=955	1		The teachers say that the lady obviously lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=955	0		The teachers say that the lady ever lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=955	1		The teachers obviously wonder whether the lady lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=955	0		The teachers ever wonder whether the lady lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=955	1		The teachers wonder whether the lady obviously lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=955	1		The teachers wonder whether the lady ever lifted the cars.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=638	1		The doctors clearly say that the person will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=638	0		The doctors ever say that the person will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=638	1		The doctors say that the person clearly will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=638	0		The doctors say that the person ever will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=638	1		The doctors clearly wonder whether the person will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=638	0		The doctors ever wonder whether the person will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=638	1		The doctors wonder whether the person clearly will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=638	1		The doctors wonder whether the person ever will wear the shoes.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=535	1		The teachers clearly say that the woman has explored the public parks.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=535	0		The teachers ever say that the woman has explored the public parks.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=535	1		The teachers say that the woman clearly has explored the public parks.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=535	0		The teachers say that the woman ever has explored the public parks.
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=535	1		The teachers clearly wonder whether the woman has explored the public parks.
