exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=hate-emb_v=talked about	1		Children who talked about all women hate these waiters.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=hate-emb_v=talk about	0		Children who talk about all women hate these waiters.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=cared for-emb_v=talked to	1		That waiter that talked to some waiter cared for every boy.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=cared for-emb_v=talks to	0		That waiter that talks to some waiter cared for every boy.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=worked with-emb_v=were at	1		That guest who were at some grocery store worked with this guest.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=worked with-emb_v=is at	0		That guest who is at some grocery store worked with this guest.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=loves-emb_v=kissed	1		The waitress who kissed some teacher loves the actor.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=loves-emb_v=kisses	0		The waitress who kisses some teacher loves the actor.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=liked-emb_v=remembered	1		This cashier that remembered the customer liked the girl.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=liked-emb_v=remembers	0		This cashier that remembers the customer liked the girl.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=knows-emb_v=disliked	1		Every cashier who disliked a lot of commentaries knows that actress.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=knows-emb_v=dislikes	0		Every cashier who dislikes a lot of commentaries knows that actress.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=respect-emb_v=went to	1		Many pedestrians who went to that school respect some students.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=respect-emb_v=go to	0		Many pedestrians who go to that school respect some students.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=escape from-emb_v=exited	1		Ladies that exited this school escape from these men.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=escape from-emb_v=exit	0		Ladies that exit this school escape from these men.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=liked-emb_v=lifted	1		All actresses that lifted the cup liked some actors.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=liked-emb_v=lift	0		All actresses that lift the cup liked some actors.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=watched-emb_v=talked to	1		The dancer that talked to all actors watched some waitress.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=watched-emb_v=talks to	0		The dancer that talks to all actors watched some waitress.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=like-emb_v=admired	1		Some dancers who admired the couch like many cashiers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=like-emb_v=admire	0		Some dancers who admire the couch like many cashiers.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=approach-emb_v=discussed	1		Doctors that discussed a lot of movies approach adults.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=approach-emb_v=discuss	0		Doctors that discuss a lot of movies approach adults.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=attacked-emb_v=remembered	1		Every waiter who remembered these dancers attacked a dancer.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=attacked-emb_v=remembers	0		Every waiter who remembers these dancers attacked a dancer.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=see-emb_v=criticized	1		The ladies that criticized some girl see these men.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=see-emb_v=criticize	0		The ladies that criticize some girl see these men.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=discuss-emb_v=ran around	1		Senators that ran around some library discuss many children.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=discuss-emb_v=run around	0		Senators that run around some library discuss many children.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=criticizes-emb_v=visited	1		The woman who visited a lady criticizes a guy.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=criticizes-emb_v=visits	0		The woman who visits a lady criticizes a guy.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=escapes from-emb_v=skated around	1		The driver that skated around some libraries escapes from the child.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=escapes from-emb_v=skates around	0		The driver that skates around some libraries escapes from the child.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=dislikes-emb_v=sold	1		Some adult who sold a lot of plates dislikes this guy.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=dislikes-emb_v=sells	0		Some adult who sells a lot of plates dislikes this guy.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=forget-emb_v=knew	1		Some teenagers who knew the waitress forget all drivers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=forget-emb_v=know	0		Some teenagers who know the waitress forget all drivers.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=observe-emb_v=investigated	1		Many boys that investigated that customer observe senators.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=observe-emb_v=investigate	0		Many boys that investigate that customer observe senators.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=leave-emb_v=cleaned	1		A lot of waiters who cleaned forks leave the adults.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=leave-emb_v=clean	0		A lot of waiters who clean forks leave the adults.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=listen to-emb_v=described	1		All actors that described many college campuses listen to these senators.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=listen to-emb_v=describe	0		All actors that describe many college campuses listen to these senators.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=escapes from-emb_v=insulted	1		The dancer who insulted a lot of malls escapes from every woman.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=escapes from-emb_v=insults	0		The dancer who insults a lot of malls escapes from every woman.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=observes-emb_v=criticized	1		This senator who criticized some mall observes a doctor.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=observes-emb_v=criticizes	0		This senator who criticizes some mall observes a doctor.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=return to-emb_v=saw	1		These cashiers who saw all children return to some people.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=return to-emb_v=see	0		These cashiers who see all children return to some people.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=forgot-emb_v=loved	1		Many pedestrians that loved some actors forgot a lot of cashiers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=forgot-emb_v=love	0		Many pedestrians that love some actors forgot a lot of cashiers.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=describe-emb_v=dropped by	1		Some teenagers that dropped by every grocery store describe the senators.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=describe-emb_v=drop by	0		Some teenagers that drop by every grocery store describe the senators.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=attack-emb_v=ran around	1		Many men who ran around the college campus attack a lot of patients.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=attack-emb_v=run around	0		Many men who run around the college campus attack a lot of patients.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=watch-emb_v=helped	1		Many ladies that helped men watch the drivers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=watch-emb_v=help	0		Many ladies that help men watch the drivers.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=forget-emb_v=saw	1		Dancers that saw every dancer forget some drivers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=forget-emb_v=see	0		Dancers that see every dancer forget some drivers.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=helped-emb_v=arrived at	1		All doctors that arrived at some movie theater helped doctors.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=helped-emb_v=arrive at	0		All doctors that arrive at some movie theater helped doctors.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=talk about-emb_v=described	1		All essays that described some guests talk about a lot of movies.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=talk about-emb_v=describe	0		All essays that describe some guests talk about a lot of movies.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=investigate-emb_v=lifted	1		The boys that lifted a lot of cars investigate all actresses.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=investigate-emb_v=lift	0		The boys that lift a lot of cars investigate all actresses.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=knows-emb_v=biked to	1		That senator who biked to many museums knows the woman.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=knows-emb_v=bikes to	0		That senator who bikes to many museums knows the woman.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=observes-emb_v=examined	1		Every driver who examined the newspaper articles observes some doctor.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=observes-emb_v=examines	0		Every driver who examines the newspaper articles observes some doctor.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=love-emb_v=walked through	1		Many guys that walked through that school love all cashiers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=love-emb_v=walk through	0		Many guys that walk through that school love all cashiers.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=praised-emb_v=admired	1		That teenager that admired some dancers praised the cashier.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=praised-emb_v=admires	0		That teenager that admires some dancers praised the cashier.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=watches-emb_v=boycotted	1		The woman that boycotted some cafes watches every actress.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=watches-emb_v=boycotts	0		The woman that boycotts some cafes watches every actress.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=cares for-emb_v=listened to	1		A senator that listened to many actors cares for this student.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=cares for-emb_v=listens to	0		A senator that listens to many actors cares for this student.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=returns to-emb_v=listened to	1		A student who listened to every senator returns to some dancer.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=returns to-emb_v=listens to	0		A student who listens to every senator returns to some dancer.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=dislikes-emb_v=discussed	1		A dancer who discussed ladies dislikes the actor.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=dislikes-emb_v=discusses	0		A dancer who discusses ladies dislikes the actor.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=left-emb_v=praised	1		That guy who praised a lot of waiters left the doctor.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=left-emb_v=praises	0		That guy who praises a lot of waiters left the doctor.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=resembles-emb_v=kissed	1		A pedestrian that kissed a woman resembles a cashier.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=resembles-emb_v=kisses	0		A pedestrian that kisses a woman resembles a cashier.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=watch-emb_v=admired	1		Students who admired a waitress watch a lot of senators.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=watch-emb_v=admire	0		Students who admire a waitress watch a lot of senators.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=attacks-emb_v=ran around	1		Every girl who ran around every school attacks that customer.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=attacks-emb_v=runs around	0		Every girl who runs around every school attacks that customer.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=loves-emb_v=fled from	1		The boy that fled from the doctors loves every woman.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=loves-emb_v=flees from	0		The boy that flees from the doctors loves every woman.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=remembered-emb_v=explored	1		That pedestrian who explored the college campus remembered some doctor.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=remembered-emb_v=explores	0		That pedestrian who explores the college campus remembered some doctor.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=forget-emb_v=cared for	1		All doctors that cared for all waitresses forget drivers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=forget-emb_v=care for	0		All doctors that care for all waitresses forget drivers.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=disliked-emb_v=helped	1		Some waiters that helped a girl disliked all doctors.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=disliked-emb_v=help	0		Some waiters that help a girl disliked all doctors.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=praised-emb_v=fled from	1		A person that fled from the actress praised a patient.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=praised-emb_v=flees from	0		A person that flees from the actress praised a patient.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=described-emb_v=referenced	1		Some documentary that referenced all plays described the restaurant.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=described-emb_v=references	0		Some documentary that references all plays described the restaurant.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=listens to-emb_v=referenced	1		Every girl who referenced doctors listens to every student.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=listens to-emb_v=references	0		Every girl who references doctors listens to every student.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=forgets-emb_v=ran around	1		A girl who ran around banks forgets some patient.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=forgets-emb_v=runs around	0		A girl who runs around banks forgets some patient.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=knows-emb_v=boycotted	1		A dancer who boycotted public parks knows every driver.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=knows-emb_v=boycotts	0		A dancer who boycotts public parks knows every driver.
exp=matrix_tense-src=1-emb_past=1-first_past=1-matrix_v=hug-emb_v=attacked	1		These children who attacked some guest hug the drivers.
exp=matrix_tense-src=1-emb_past=0-first_past=0-matrix_v=hug-emb_v=attack	0		These children who attack some guest hug the drivers.
