""	"metadata"	"experiment"	"environment"	"npi"	"crucial_item"	"licensor"	"scope"	"npi_present"	"paradigm"	"acceptability"	"sentence"	"rand_int"
"1"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=1-npi_present=0-paradigm=464"	"NPI"	"adverbs"	"ever"	"often"	"0"	"1"	"0"	"464"	1	"The patients often obviously thought that the drivers had cried."	0
"2"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=1-npi_present=1-paradigm=836"	"NPI"	"adverbs"	"ever"	"sometimes"	"0"	"1"	"1"	"836"	0	"The students sometimes ever imagined that the senators divorce."	0
"3"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5228"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"0"	"0"	"5228"	1	"According to the boy, the drivers explained that some senators had replied."	1
"4"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=1050"	"NPI"	"quantifier"	"ever"	"some"	"0"	"0"	"0"	"1050"	1	"Some teacher who had bought many newspaper articles often did praise a lot of adults."	1
"5"	"experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=1930"	"NPI"	"adverbs"	"any"	"rarely"	"1"	"0"	"1"	"1930"	0	"A person who rarely talked about customers arrived at any restaurants."	2
"6"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5604"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"1"	"1"	"5604"	1	"The patients will not say that any waiters were exploring the cafes."	2
"7"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=1286"	"NPI"	"only"	"any"	"_"	"1"	"1"	"0"	"1286"	1	"In the man's opinion, only the dancers had left those restaurants."	3
"8"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=206"	"NPI"	"questions"	"ever"	"whether"	"0"	"1"	"1"	"206"	0	"The boys say that the teenager ever could pass the museums."	3
"10"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=20"	"NPI"	"conditional"	"ever"	"while"	"0"	"0"	"1"	"20"	0	"While the adult dislikes the stories, the doctor will ever like the customers."	4
"11"	"experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0-paradigm=34"	"NPI"	"quantifier"	"any"	"every"	"1"	"0"	"0"	"34"	1	"Every teenager who is at many grocery stores would praise these senators."	4
