experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0	1		some humans who have observed the people break many dishes .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=0-npi_present=0	1		any humans who have observed many people break the dishes .
experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=1-npi_present=1	0		pedestrians who will help any guys had lifted many couches .
experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=1-npi_present=0	1		pedestrians who will help the guys had lifted many couches .
experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=1	0		pedestrians who will help many guys had lifted any couches .
experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=0	1		pedestrians who will help many guys had lifted the couches .
experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0	1		some woman who had observed many adults forgets the people .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1	1		every woman who had observed any adults forgets people .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1	0		every woman who had observed many adults forgets any people .
experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=1-npi_present=0	1		a lot of teenagers who have talked to the waitresses resemble some reports .
experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=0-npi_present=1	0		a lot of teenagers who have talked to waitresses resemble any reports .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0	1		all teenagers who have talked to waitresses resemble the reports .
experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=0-npi_present=1	0		the adult who drives to some banks is leaving any high schools .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1	0		every adult who drives to some banks is leaving any high schools .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=0	1		every man who are at the cafes breaks couches .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1	0		every man who are at many cafes breaks any couches .
experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=1	0		cashiers who ran around some college campuses have seen any pants .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0	1		all cashiers who ran around some college campuses have seen the pants .
experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1	0		some guest who kisses any drivers was admiring girls .
experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0	1		some guest who kisses the drivers was admiring girls .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1	1		every guest who kisses any drivers was admiring girls .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0	1		every guest who kisses a lot of drivers was admiring the girls .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=0	1		more than three ladies who dropped by the schools would criticize a lot of teenagers .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=0-npi_present=0	1		any ladies who dropped by the schools would criticize the teenagers .
experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=0	1		actors who fled from a lot of public parks will kiss the guys .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=1-npi_present=0	1		all actors who fled from the public parks will kiss some guys .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=1	0		all actors who fled from a lot of public parks will kiss any guys .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0	1		all actors who fled from a lot of public parks will kiss the guys .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=0	1		every boy who was fleeing from the adults was skated around more than three cafes .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1	0		every boy who was fleeing from some adults was skated around any cafes .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=1	0		more than three pedestrians who criticize any girls boycotted some hospitals .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=0-npi_present=0	1		more than three pedestrians who criticize many girls boycotted the hospitals .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=1-npi_present=0	1		any pedestrians who criticize the girls boycotted some hospitals .
experiment=NPI-env=quantifier-npi=any-crucial_item=many-licensor=0-scope=1-npi_present=1	0		many pedestrians who dislike any grocery stores boycotted movie theaters .
experiment=NPI-env=quantifier-npi=any-crucial_item=many-licensor=0-scope=1-npi_present=0	1		many pedestrians who dislike the grocery stores boycotted movie theaters .
experiment=NPI-env=quantifier-npi=any-crucial_item=many-licensor=0-scope=0-npi_present=1	0		many pedestrians who dislike a lot of grocery stores boycotted any movie theaters .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=1	0		more than three ladies who discussed any students are investigating some libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=0	1		more than three ladies who discussed the students are investigating some libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=an-licensor=0-scope=0-npi_present=0	1		an actress who was walking through a lot of schools had visited the grocery stores .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1	1		every actress who was walking through any schools had visited some grocery stores .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=0	1		every actress who was walking through the schools had visited some grocery stores .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0	1		every actress who was walking through a lot of schools had visited the grocery stores .
experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=0-npi_present=0	1		the waitress who was fleeing from many grocery stores investigates the customers .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=0	1		every waitress who was fleeing from the grocery stores investigates customers .
experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=0-npi_present=0	1		the cashier who had skated around many high schools arrives at the movie theaters .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0	1		every cashier who had skated around many high schools arrives at the movie theaters .
experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=1-npi_present=1	0		people who tour any grocery stores walk through some libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=1-npi_present=0	1		any people who tour the grocery stores walk through some libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=1-npi_present=1	0		the pedestrians who did lift any reports had dropped by more than three libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=1-npi_present=0	1		the pedestrians who did lift the reports had dropped by more than three libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=0-npi_present=0	1		the pedestrians who did lift a lot of reports had dropped by the libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=1-npi_present=0	1		any pedestrians who did lift the reports had dropped by more than three libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=0	1		every waitress who had brought the shoes is escaping from a lot of hospitals .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0	1		every waitress who had brought a lot of shoes is escaping from the hospitals .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=0-npi_present=1	0		more than three waiters who can observe a lot of cashiers could see any books .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=1-npi_present=1	1		any waiters who can observe any cashiers could see books .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=0-npi_present=1	0		any waiters who can observe a lot of cashiers could see any books .
experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=0-npi_present=0	1		any waiters who can observe a lot of cashiers could see the books .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1	0		every teacher who was cleaning more than three cups did explore any libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0	1		every teacher who was cleaning more than three cups did explore the libraries .
experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1	0		some boy who has hugged any gals remembered more than three guys .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1	1		every boy who has hugged any gals remembered more than three guys .
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1	0		every boy who has hugged gals remembered any guys .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=1	0		more than three teachers who are leaving any banks return to many students .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=0	1		more than three teachers who are leaving the banks return to many students .
experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=0-npi_present=1	0		more than three teachers who are leaving a lot of banks return to any students .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=1-npi_present=1	1		all teachers who are leaving any banks return to many students .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=1-npi_present=0	1		all teachers who are leaving the banks return to many students .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=1	0		all teachers who are leaving a lot of banks return to any students .
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0	1		all teachers who are leaving a lot of banks return to the students .
