experiment=npi_scope-npi=any-aux=weren't-licensor_embedded=0-npi_embedded=0-licensor_precede=1	1		many boys that aren't discussing many guests weren't working with any waitresses.
experiment=npi_scope-npi=any-aux=weren't-licensor_embedded=0-npi_embedded=1-licensor_precede=0	0		many boys that aren't discussing a guests weren't working with many waitresses.
experiment=npi_scope-npi=any-aux=aren't-licensor_embedded=1-npi_embedded=0-licensor_precede=1	0		many boys that aren't discussing many guests aren't working with any waitresses.
experiment=npi_scope-npi=any-aux=aren't-licensor_embedded=1-npi_embedded=1-licensor_precede=1	1		many boys that aren't discussing any guests aren't working with many waitresses.
experiment=npi_scope-npi=any-aux=hadn't-licensor_embedded=0-npi_embedded=0-licensor_precede=1	1		a girl who isn't attacking the pedestrians hadn't criticized any girls.
experiment=npi_scope-npi=any-aux=hadn't-licensor_embedded=0-npi_embedded=1-licensor_precede=0	0		a girl who isn't attacking a pedestrians hadn't criticized girls.
experiment=npi_scope-npi=any-aux=wasn't-licensor_embedded=1-npi_embedded=0-licensor_precede=1	0		a girl who wasn't attacking the pedestrians hasn't criticized any girls.
experiment=npi_scope-npi=any-aux=wasn't-licensor_embedded=1-npi_embedded=1-licensor_precede=1	1		a girl who wasn't attacking any pedestrians hasn't criticized girls.
experiment=npi_scope-npi=any-aux=can't-licensor_embedded=0-npi_embedded=0-licensor_precede=1	1		many customers that shouldn't buy cars can't discuss any pedestrians.
experiment=npi_scope-npi=any-aux=can't-licensor_embedded=0-npi_embedded=1-licensor_precede=0	0		many customers that shouldn't buy a cars can't discuss pedestrians.
experiment=npi_scope-npi=any-aux=wouldn't-licensor_embedded=1-npi_embedded=0-licensor_precede=1	0		many customers that wouldn't buy cars wouldn't discuss any pedestrians.
experiment=npi_scope-npi=any-aux=wouldn't-licensor_embedded=1-npi_embedded=1-licensor_precede=1	1		many customers that wouldn't buy any cars wouldn't discuss pedestrians.
experiment=npi_scope-npi=any-aux=aren't-licensor_embedded=0-npi_embedded=0-licensor_precede=1	1		the ladies who wouldn't have the chairs aren't praising any girls.
